"Angebote";"Visits gesamt";"Visits gesamt Inland";"Visits gesamt Anteil Inland";"Visits gesamt Ausland";"online Visits gesamt";"online Visits Inland";"online Visits Ausland";"mobile Visits gesamt";"mobile Visits Inland";"mobile Visits Ausland";"Connected TV Visits gesamt";"Connected TV Visits Inland";"Connected TV Visits Ausland";
"1&1 Internet AG ";;;;;;;;;;;;;;




"104.6rtl.com";512.421;473.901;92 %;38.520;202.291;187.880;14.411;310.130;286.021;24.109;;;;




"107.7 Radio Hagen";93.415;90.859;97 %;2.556;93.415;90.859;2.556;;;;;;;

"11freunde.de";2.278.245;2.034.371;89 %;243.874;726.402;643.635;82.767;1.551.843;1.390.736;161.107;;;;




"321kochen.tv";108.867;88.359;81 %;20.508;108.867;88.359;20.508;;;;;;;

"4Trips";352.381;282.801;80 %;69.580;352.381;282.801;69.580;;;;;;;

"4Wheel Fun";3.585;2.701;75 %;884;;;;3.585;2.701;884;;;;


"7TV.de";2.309.396;2.284.779;99 %;24.617;603.092;593.352;9.740;1.706.304;1.691.427;14.877;;;;



"89.0 RTL";115.907;111.580;96 %;4.327;41.707;38.923;2.784;74.200;72.657;1.543;;;;


"90min";6.451.443;5.553.764;86 %;897.679;5.965.357;5.078.904;886.453;486.086;474.860;11.226;;;;



":K k-magazin";14.489;11.890;82 %;2.599;14.489;11.890;2.599;;;;;;;

"Aachener Zeitung";2.505.267;2.314.162;92 %;191.105;1.105.330;997.914;107.416;1.399.937;1.316.248;83.689;;;;


"Abendzeitung München";6.982.780;6.351.914;91 %;630.866;3.130.952;2.803.105;327.847;3.851.828;3.548.809;303.019;;;;




"Absatzwirtschaft-Online";172.423;151.661;88 %;20.762;172.423;151.661;20.762;;;;;;;

"AD Magazin";998.317;847.165;85 %;151.152;998.317;847.165;151.152;;;;;;;

"Ärzte Zeitung Online";1.561.443;1.377.151;88 %;184.292;940.239;823.766;116.473;621.204;553.385;67.819;;;;


"agrarheute.com";1.738.492;1.521.017;87 %;217.475;1.264.127;1.111.319;152.808;474.365;409.698;64.667;;;;


"agrarzeitung | online";236.162;210.912;89 %;25.250;219.896;196.751;23.145;16.266;14.161;2.105;;;;


"ahgz.de - Allgemeine Hotel- und Gastronomie-Zeitung";592.825;510.409;86 %;82.416;592.825;510.409;82.416;;;;;;;

"Aichacher Zeitung Online";49.781;44.513;89 %;5.268;49.781;44.513;5.268;;;;;;;

"airliners.de Luftverkehrs-Branchenportal";849.421;701.523;83 %;147.898;849.421;701.523;147.898;;;;;;;

"Airport Nürnberg";283.184;255.174;90 %;28.010;283.184;255.174;28.010;;;;;;;

"AIS-Online";135.721;118.742;87 %;16.979;135.721;118.742;16.979;;;;;;;

"All-Electronics.de";83.861;65.209;78 %;18.652;83.861;65.209;18.652;;;;;;;

"Allgäuer Zeitung Onlineangebot";588.587;554.467;94 %;34.120;588.587;554.467;34.120;;;;;;;

"Allgemeine BäckerZeitung (ABZ)";55.794;47.799;86 %;7.995;55.794;47.799;7.995;;;;;;;

"Allgemeine Zeitung";175.101;162.184;93 %;12.917;86.215;76.556;9.659;88.886;85.628;3.258;;;;


"Allgemeine Zeitung Uelzen Online";756.875;716.693;95 %;40.182;362.426;337.882;24.544;394.449;378.811;15.638;;;;


"Alpin";210.764;140.789;67 %;69.975;116.190;78.359;37.831;94.574;62.430;32.144;;;;


"amicella";4.828.260;4.077.925;84 %;750.335;4.828.260;4.077.925;750.335;;;;;;;

"Amorelie";1.336.493;1.250.847;94 %;85.646;1.336.493;1.250.847;85.646;;;;;;;

"AndroidPIT";2.579.816;2.226.919;86 %;352.897;1.221.446;1.037.725;183.721;1.358.370;1.189.194;169.176;;;;


"ANTENNE 1";248.470;236.262;95 %;12.208;248.470;236.262;12.208;;;;;;;

"Antenne AC";72.484;68.956;95 %;3.528;72.484;68.956;3.528;;;;;;;

"Antenne Bayern";2.658.737;2.294.276;86 %;364.461;1.450.543;1.287.070;163.473;1.208.194;1.007.206;200.988;;;;



"ANTENNE DÜSSELDORF";179.234;170.274;95 %;8.960;179.234;170.274;8.960;;;;;;;

"ANTENNE MÜNSTER";115.238;112.349;97 %;2.889;115.238;112.349;2.889;;;;;;;

"ANTENNE NIEDERRHEIN";60.544;58.406;96 %;2.138;60.544;58.406;2.138;;;;;;;

"Antenne Niedersachsen";474.094;450.424;95 %;23.670;166.581;153.832;12.749;307.513;296.592;10.921;;;;


"ANTENNE THÜRINGEN";257.544;247.814;96 %;9.730;125.071;118.818;6.253;132.473;128.996;3.477;;;;


"ANTENNE THÜRINGEN App";24.793;23.939;97 %;854;;;;24.793;23.939;854;;;;


"Antenne Unna";87.563;84.836;97 %;2.727;87.563;84.836;2.727;;;;;;;

"anwalt24.de";284.853;259.530;91 %;25.323;284.853;259.530;25.323;;;;;;;

"Anzeiger für Harlingerland";146.429;139.312;95 %;7.117;146.429;139.312;7.117;;;;;;;

"Aponet";1.771.059;1.700.027;96 %;71.032;800.848;739.187;61.661;970.211;960.840;9.371;;;;


"apotheken-umschau.de";17.532.698;15.789.376;90 %;1.743.322;6.158.049;5.462.865;695.184;11.374.649;10.326.511;1.048.138;;;;


"arcade Design-Magazin";19.812;16.932;85 %;2.880;19.812;16.932;2.880;;;;;;;

"Architektur & Wohnen";37.670;28.095;75 %;9.575;27.679;19.946;7.733;9.991;8.149;1.842;;;;


"Arcor.de";9.100.911;8.770.930;96 %;329.981;9.100.911;8.770.930;329.981;;;;;;;

"Areamobile.de";1.877.339;1.551.782;83 %;325.557;671.030;558.703;112.327;1.206.309;993.079;213.230;;;;


"ARIVA.DE";7.539.100;6.247.491;83 %;1.291.609;5.296.876;4.346.944;949.932;2.242.224;1.900.547;341.677;;;;




"arzt-wirtschaft.de";91.760;86.677;94 %;5.083;91.760;86.677;5.083;;;;;;;

"AssCompact Website";70.965;63.889;90 %;7.076;70.965;63.889;7.076;;;;;;;

"ATV & QUAD Magazin";14.165;10.493;74 %;3.672;14.165;10.493;3.672;;;;;;;

"Augsburger Allgemeine Online";10.149.336;9.313.051;92 %;836.285;4.523.606;4.137.389;386.217;5.625.730;5.175.662;450.068;;;;


"auskunft.de";4.038.953;3.795.212;94 %;243.741;4.038.953;3.795.212;243.741;;;;;;;

"auto motor und sport";21.666.174;18.979.696;88 %;2.686.478;9.326.917;7.434.393;1.892.524;12.339.257;11.545.303;793.954;;;;










"Auto News";387.848;301.695;78 %;86.153;387.848;301.695;86.153;;;;;;;

"AUTO SERVICE PRAXIS Online";106.832;91.074;85 %;15.758;106.832;91.074;15.758;;;;;;;

"autobild.de";33.143.518;29.033.689;88 %;4.109.829;14.520.718;11.802.858;2.717.860;18.622.800;17.230.831;1.391.969;;;;




"AUTOFLOTTE Online";95.667;80.489;84 %;15.178;95.667;80.489;15.178;;;;;;;

"AUTOGAZETTE.DE";73.466;61.805;84 %;11.661;73.466;61.805;11.661;;;;;;;

"AUTOHAUS Online";671.354;584.650;87 %;86.704;671.354;584.650;86.704;;;;;;;

"Automation";8.678;6.880;79 %;1.798;8.678;6.880;1.798;;;;;;;

"Automobil Industrie";266.868;215.536;81 %;51.332;266.868;215.536;51.332;;;;;;;

"automobil-produktion.de";410.464;335.065;82 %;75.399;410.464;335.065;75.399;;;;;;;

"autoplenum.de";2.907.860;2.533.094;87 %;374.766;2.907.860;2.533.094;374.766;;;;;;;

"AutoScout24";73.288.987;39.107.102;53 %;34.181.885;16.194.850;12.051.018;4.143.832;57.094.137;27.056.084;30.038.053;;;;




"Autozeitung.de";4.014.535;3.129.190;78 %;885.345;2.075.058;1.623.600;451.458;1.939.477;1.505.590;433.887;;;;




"azubiworld.com";6.179.620;5.075.114;82 %;1.104.506;6.179.620;5.075.114;1.104.506;;;;;;;

"Baader Bondboard";175.239;127.369;73 %;47.870;175.239;127.369;47.870;;;;;;;

"Baby & Junior";6.370;5.151;81 %;1.219;6.370;5.151;1.219;;;;;;;

"Baby und Familie";2.266.199;1.982.137;87 %;284.062;412.001;342.130;69.871;1.854.198;1.640.007;214.191;;;;


"baby-vornamen.de";1.533.484;1.254.429;82 %;279.055;1.533.484;1.254.429;279.055;;;;;;;

"BabyCenter";6.512.021;5.356.800;82 %;1.155.221;6.512.021;5.356.800;1.155.221;;;;;;;

"babyclub.de";1.696.620;1.483.363;87 %;213.257;281.905;244.091;37.814;1.414.715;1.239.272;175.443;;;;


"Backnanger Kreiszeitung Online";136.975;123.438;90 %;13.537;136.975;123.438;13.537;;;;;;;

"Baden Online";1.180.385;1.136.214;96 %;44.171;574.933;553.816;21.117;605.452;582.398;23.054;;;;


"Badische Zeitung Online";6.757.384;6.149.485;91 %;607.899;3.798.513;3.391.881;406.632;2.958.871;2.757.604;201.267;;;;




